#Compound,SMILES,5 min GDP/GTP exchange IC50 (�M),2 h MIA PaCa-2 p-ERK IC50 (�M),72 h Mia PaCa-2 Viability IC50 (�M) ,72 h A549 Viability IC50 (�M) 
1,N(C1CN(C(=O)C=C)C1)C(=O)Cn2c(c(C)cc(Cl)c3)c3c(C(N4Cc(cccc5OC)c5CC4)=O)c2C6CC6,,0.22,,
2,c1(c(N2CCN(C(C=C)=O)CC2)nnc3c4ccccc4)c3cc(c(Cl)c1)c5c(O)cccc5F,20.1,58,,
3,c1(c(N2CCN(C(C=C)=O)CC2)nnc3c4c(C)cccc4)c3cc(c5c(O)cccc5F)c(Cl)c1,5.71,3.33,,
4,c1(c(N2CCN(C(C=C)=O)CC2)nnc3c4c(Cl)cccc4)c3cc(c5c(O)cccc5F)c(Cl)c1,3.52,3.53,,
5,c1(c(N2CCN(C(C=C)=O)CC2)nnc3c4c(CC)cccc4)c3cc(c5c(O)cccc5F)c(Cl)c1,0.903,2.58,,
6,c1(c(N2CCN(C(C=C)=O)CC2)nnc3c4c(OC)cccc4)c3cc(c5c(O)cccc5F)c(Cl)c1,9.15,8.05,,
7,c1(c(N2CCN(C(C=C)=O)CC2)nnc3c4c(C5CC5)cccc4)c3cc(c6c(O)cccc6F)c(Cl)c1,1.55,7.15,,
8,c1(c(N2CCN(C(C=C)=O)CC2)nnc3c4c(C(C)C)cccc4)c3cc(c5c(O)cccc5F)c(Cl)c1,0.683,1.8,,
9,c1(cc(Cl)c(c2c(F)cccc2O)c3)c3N(c4ccccc4C(C)C)C(=O)N=C1N5CCN(C(C=C)=O)CC5,0.101,0.335,,
(R)-9,c1(cc(Cl)c(c2c(F)cccc2O)c3)c3N(c4ccccc4C(C)C)C(=O)N=C1N5CCN(C(C=C)=O)CC5,,0.13,0.033,10.3
10,N1=C(N2CCN(C(C=C)=O)CC2)c(cc(Cl)c(c3c(cccc4)c4cc(O)c3)c5)c5N(c6ccccc6C(C)C)C1=O,,,0.017,2.7
(R)-11,N1=C(N2CCN(C(=O)C=C)CC2)c(cc(Cl)c(c3c(C)ccc([nH]nc4)c34)c5)c5N(c6ccccc6C(C)C)C1=O,,0.008,0.004,1.7
(R)-12,N1=C(N2CCN(C(C=C)=O)CC2)c(cc(Cl)c(c3ccccc3F)c4)c4N(c5ccccc5C(C)C)C1=O,,0.08,0.022,6.4
